Country,Data Quality,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),Cropland Footprint Production,Grazing Footprint Production,Forest Product Footprint Production,Fish Footprint Production,Built up land Production,Carbon Footprint Production,Total Ecological Footprint (Production),Cropland Footprint Consumption,Grazing Footprint Consumption,Forest Product Footprint Consumption,Fish Footprint Consumption,Built up land Consumption,Carbon Footprint Consumption,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,actual Country Overshoot Day 2018
Afghanistan,3A,53.9,64.486,0.509,564.6173825,Middle East/Central Asia,LI,37.17189844,0.139392867,0.157739831,0.052033927,8.3972E-05,0.028433398,0.090303147,0.467987142,0.269787812,0.165095142,0.062878631,0.001059565,0.028433398,0.155000803,0.682255352,0.139392867,0.157739831,0.014376868,0,0.028433398,0.339942964,-0.342312387,0.431091311,2.006970062,
Albania,3A,71,78.458,0.792,5046.032611,Other Europe,UM,2.88273999,0.362065115,0.195717639,0.163174488,0.018086734,0.04224762,0.639822238,1.421113833,0.547458324,0.195847929,0.207561323,0.040594971,0.04224762,0.852747856,1.886458023,0.362065115,0.195717639,0.310590492,0.082072359,0.04224762,0.992693225,-0.893764798,1.19198136,1.900343404,43407.21284
Algeria,3A,70.9,76.693,0.746,4759.830054,Africa,UM,42.22839844,0.249653045,0.108329191,0.079856899,0.008417109,0.037283149,1.200642297,1.68418169,0.642916868,0.150201265,0.163527535,0.013792763,0.037283149,1.333187136,2.340908715,0.249653045,0.249356358,0.025332506,0.00754137,0.037283149,0.569166426,-1.771742289,1.479131537,4.112872099,43347.76642
Angola,3A,50.3,60.782,0.582,3233.902767,Africa,LM,30.80980078,0.210919267,0.054546374,0.086584432,0.078892022,0.046437427,0.201849769,0.679229292,0.329742116,0.075852851,0.089536691,0.091382906,0.046437427,0.228892681,0.861844673,0.210919267,0.918249423,0.485999727,0.175160477,0.046437427,1.836766321,0.974921648,0.544566999,0.469218464,
Antigua and Barbuda,2B,,76.885,0.772,15134.91009,Central America/Caribbean,HI,0.096286003,,,,,,,1.910372799,,,,,,,4.65509242,,,,,,0.856508776,-3.798583643,2.941376551,5.434961728,43225.09156
Argentina,3A,72.8,76.52,0.842,10076.39541,South America,UM,44.36110156,2.207423131,0.969692209,0.250687823,0.174033948,0.092705246,1.381537229,5.076079587,0.908613949,0.717146942,0.276677713,0.08359322,0.092705246,1.233009028,3.311746098,2.207423131,1.721421363,0.60991216,1.548194296,0.092705246,6.179656197,2.867910099,2.0925669,0.535911059,43275.42692
Armenia,3A,71.8,74.945,0.771,4406.741763,Middle East/Central Asia,LM,2.95175,0.208557325,0.156551688,0.198052714,4.41356E-05,0.035762932,0.652324421,1.251293216,0.482838528,0.201365023,0.267196015,0.0007562,0.035762932,0.912473417,1.900392117,0.208557325,0.263464504,0.092649369,0.015682325,0.035762932,0.616116456,-1.28427566,1.200785786,3.084469012,43404.96762
Australia,3A,75.6,82.7488,0.943,57032.23705,Asia-Pacific,HI,24.89819922,1.921157918,2.413254817,0.984092571,0.041369172,0.040870354,5.445939304,10.84668414,0.76599486,0.522429084,0.947138882,0.11282207,0.040870354,4.696783702,7.086038951,1.921157918,4.613393328,1.959529206,2.936743398,0.040870354,11.4716942,4.385655253,4.477399573,0.617697685,43182.52053
Austria,3A,82.1,81.6927,0.921,49711.01453,EU,HI,8.891389648,0.519068701,0.144925247,1.31108456,5.99368E-05,0.131240905,2.513095839,4.619475188,0.75180032,0.269214364,0.919378384,0.056384393,0.131240905,3.936441187,6.064459553,0.519068701,0.144925247,1.877495539,0.002955643,0.131240905,2.675686034,-3.388773519,3.831902251,2.266506412,43196.25295
Azerbaijan,3A,72.4,72.864,0.754,5795.021657,Middle East/Central Asia,UM,9.949540039,0.435543824,0.173177123,0.016226656,0.000289619,0.056911876,1.114565734,1.796714833,0.591934801,0.222369954,0.127092964,0.010219862,0.056911876,1.051545321,2.060074778,0.435543824,0.173177123,0.10707279,0.014455742,0.056911876,0.787161355,-1.272913423,1.30168321,2.617093389,43381.40617
